archlinuxarm-keyring 20140119-2
autoconf 2.71-1
automake 1.16.5-1
base 3-1
bison 3.8.2-4
debugedit 5.0-4
dhcpcd 9.4.1-1
dtc 1.6.1-4
fakeroot 1.30.1-1
flex 2.6.4-3
gcc 12.1.0-2.1
git 2.39.0-1
groff 1.22.4-7
i2c-tools 4.3-3
libglvnd 1.6.0-1
libtool 2.4.7-2
m4 1.4.19-1
make 4.4-1
nano 7.1-1
net-tools 2.10-1
netctl 1.28-1
nvidia-l4t-core 32.7.3-1
nvidia-l4t-init 32.7.3-1
nvidia-l4t-kernel 4.9.299.tegra-1
nvidia-l4t-kernel-dtbs 4.9.299.tegra-1
nvidia-l4t-tools 32.7.3-1
openssh 9.1p1-3
patch 2.7.6-8
pkgconf 1.8.0-1
pkgfile 21-2
python 3.10.9-1
python-pip 22.3.1-1
sudo 1.9.12-5
texinfo 7.0.1-1.1
tree 2.1.0-1
vi 1:070224-6
vim 9.0.1046-1
wget 1.21.3-1
which 2.21-5
